code,borough,IMD,Income,Employment,Education_Skills_Training,HealthDeprivation_Disability,Crime,Housing_Services_Barriers,Living_Environment
E09000001,City of London,29199,32831,32742,32842,32113,32662,7319,7789
E09000001,City of London,30379,29901,31190,32832,29705,32789,11707,13070
E09000001,City of London,14915,18510,15103,26386,17600,29363,2157,4092
E09000001,City of London,8678,6029,7833,12370,17907,31059,2217,9397
E09000002,Barking and Dagenham,14486,14023,21692,17511,21581,18848,1033,10629
E09000002,Barking and Dagenham,7256,6261,11487,20536,16414,4925,274,11162
E09000002,Barking and Dagenham,5010,3382,6431,10569,12334,11113,981,8672
E09000002,Barking and Dagenham,6736,7506,11132,16819,9661,4431,554,9611
E09000002,Barking and Dagenham,6900,8902,17988,20182,16050,2164,259,2269
E09000002,Barking and Dagenham,7698,9033,16108,12224,18178,8727,110,4309
E09000002,Barking and Dagenham,5990,4570,13201,13896,16887,8515,39,5437
E09000002,Barking and Dagenham,4573,5966,7013,11346,7172,2236,1018,8569
E09000002,Barking and Dagenham,5650,6627,7932,7994,10972,5163,872,11704
E09000002,Barking and Dagenham,6405,5755,9271,10318,15626,10845,278,11351
E09000002,Barking and Dagenham,6739,6711,9461,8971,10676,8699,1273,11815
E09000002,Barking and Dagenham,4570,4033,5016,11972,6950,11685,902,10141
E09000002,Barking and Dagenham,6504,5998,7832,10125,12006,9663,1323,11373
E09000002,Barking and Dagenham,6410,7049,7641,10264,9374,7142,1855,10667
E09000002,Barking and Dagenham,5520,5760,8401,11245,6282,7066,1319,8756
E09000002,Barking and Dagenham,4611,5007,7865,7939,10085,8283,961,3095
E09000002,Barking and Dagenham,6098,6941,7576,9771,9980,9002,1191,8559
E09000002,Barking and Dagenham,5243,5088,11325,11907,15505,1812,912,4268
E09000002,Barking and Dagenham,8333,10056,12570,8860,12148,12816,940,8892
E09000002,Barking and Dagenham,5303,5570,7683,10465,10405,5042,707,9925
E09000002,Barking and Dagenham,5097,5730,6959,5869,13752,3211,1062,15032
